year,iso_code,country,ft_fossil_fuel
1990,PYF,French Polynesia,
1990,QAT,Qatar,99.91
1990,ROU,Romania,96.13
1990,RUS,Russian Federation,93.51
1990,RWA,Rwanda,2.7
1990,SAU,Saudi Arabia,99.98
1990,SDN,Sudan,17.45
1990,SEN,Senegal,43.25
1990,SGP,Singapore,99.39
1990,SLB,Solomon Islands,0.0
1990,SLE,Sierra Leone,
1990,SLV,El Salvador,31.43
1990,SMR,San Marino,
1990,SOM,Somalia,
1990,SRB,Serbia,91.61
1990,SSD,South Sudan,
1990,STP,Sao Tome and Principe,0.0
1990,SUR,Suriname,
1990,SVK,Slovak Republic,81.63
1990,SVN,Slovenia,71.28
1990,SWE,Sweden,37.79
1990,SWZ,Eswatini,34.57
1990,SXM,Sint Maarten (Dutch part),
1990,SYC,Seychelles,0.0
1990,SYR,Syrian Arab Republic,97.73
1990,TCA,Turks and Caicos Islands,
1990,TCD,Chad,7.37
1990,TGO,Togo,15.06
1990,THA,Thailand,63.67
1990,TJK,Tajikistan,71.33
1990,TKM,Turkmenistan,100.0
1990,TLS,Timor-Leste,
1990,TON,Tonga,0.0
1990,TTO,Trinidad and Tobago,98.9
1990,TUN,Tunisia,87.02
1990,TUR,Turkiye,81.35
1990,TUV,Tuvalu,
1990,TZA,Tanzania,8.67
1990,UGA,Uganda,3.55
1990,UKR,Ukraine,92.59
1990,URY,Uruguay,58.64
1990,USA,United States,86.43
1990,UZB,Uzbekistan,99.18
1990,VCT,St. Vincent and the Grenadines,0.0
1990,VEN,"Venezuela, RB",90.46
1990,VGB,British Virgin Islands,
1990,VIR,Virgin Islands (U.S.),
1990,VNM,Viet Nam,27.62
1990,VUT,Vanuatu,0.0
1990,WSM,Samoa,0.0
1990,YEM,"Yemen, Rep.",96.92
1990,ZAF,South Africa,85.96
1990,ZMB,Zambia,15.52
1990,ZWE,Zimbabwe,44.8
